id,description,price
726,Chicken Thigh - Bone Out,2012064220
727,Milk - 1%,192317163
728,Bread - Pumpernickel,1024855551
729,Wine - Placido Pinot Grigo,1017496351
730,Lettuce - Arugula,2195094599
731,"Bread - Rolls, Corn",1199638086
732,Scallops - In Shell,2294409308
733,Bamboo Shoots - Sliced,1845365685
734,Sage Ground Wiberg,2521853660
735,Salt - Seasoned,785720235
736,Chevere Logs,1650848534
737,Puree - Passion Fruit,571096424
738,Vinegar - White,1451180698
739,Oneshot Automatic Soap System,1068025698
740,Pork Loin Cutlets,2422799423
741,Beans - Butter Lrg Lima,143082620
742,"Bread - Roll, Whole Wheat",1559044447
743,Lid - 3oz Med Rec,1748840654
744,Bread - Corn Muffaletta,3365510083
745,"Water - Spring Water, 355 Ml",976018169
746,V8 - Vegetable Cocktail,2361814066
747,Mix - Cocktail Ice Cream,3504142990
748,"Beef - Rib Roast, Cap On",273917397
749,Sobe - Cranberry Grapefruit,1590426204
750,Bread - 10 Grain Parisian,2422943448
751,Salt - Table,146277676
752,Melon - Watermelon Yellow,3099018638
753,Mushroom Morel Fresh,2323878288
754,Wine - Ej Gallo Sierra Valley,2063133821
755,"Wine - Red, Mosaic Zweigelt",366643778
756,Wine - Sauvignon Blanc Oyster,1105792209
757,Mustard - Individual Pkg,1640949815
758,Squash - Sunburst,3822843939
759,Schnappes Peppermint - Walker,2934474045
760,Foil - Round Foil,2155488588
761,Bread - Crusty Italian Poly,2653822265
762,Creme De Cacao White,3642468257
763,Pork - Hock And Feet Attached,2770915666
764,Compound - Orange,3000901601
765,Pernod,1483153659
766,Food Colouring - Green,342118925
767,Jicama,1972472322
768,"Gin - Gilbeys London, Dry",2581131257
769,Mustard - Dijon,3777012573
770,Clam Nectar,627924226
771,"Veal - Chops, Split, Frenched",2289475763
772,Raisin - Golden,643131202
773,"Cheese - Havarti, Roasted Garlic",1339896590
774,Tea - Lemon Green Tea,1754443222
775,Lidsoupcont Rp12dn,813941524
776,Smoked Tongue,309454970
777,Ice Cream Bar - Hageen Daz To,3274074982
778,Sauce - Vodka Blush,2171253694
779,Towel Multifold,738441264
780,Roe - White Fish,3963804819
781,Bread - Onion Focaccia,2460618121
782,Juice - Prune,1043507625
783,Lobster - Live,2816255633
784,Bread - Burger,823197324
785,Onions - White,683069640
786,Wine - Manischewitz Concord,1340218357
787,Ecolab - Ster Bac,2242637493
788,Numi - Assorted Teas,3562041039
789,Sausage - Chorizo,1398356208
790,Vodka - Smirnoff,209401144
791,Scallops - 20/30,453378833
792,Bar Mix - Lemon,534144755
793,Trueblue - Blueberry Cranberry,3347454130
794,Chips Potato Salt Vinegar 43g,3026050946
795,Wine - Domaine Boyar Royal,2590311306
796,Pork - Smoked Back Bacon,2623510122
797,Appetizer - Smoked Salmon / Dill,225526313
798,Chef Hat 20cm,239061233
799,Cake Sheet Combo Party Pack,3293664971
800,Pepper - Red Bell,1388832581
801,Tea Leaves - Oolong,2220049144
802,Soap - Pine Sol Floor Cleaner,806181507
803,"Turkey - Breast, Double",3236072026
804,Wine - Coteaux Du Tricastin Ac,3904075550
805,Sage - Ground,2859199943
806,Fish - Bones,3969840470
807,Potatoes - Yukon Gold 5 Oz,1870728328
808,Tea - Lemon Green Tea,2306928927
809,"Jam - Marmalade, Orange",2584340558
810,Olive - Spread Tapenade,371717189
811,Bread - Triangle White,2369043372
812,Muffin Mix - Chocolate Chip,903258103
813,Rabbit - Frozen,1409199216
814,Chocolate Bar - Oh Henry,2938489690
815,Pork Casing,328524532
816,Ecolab - Hand Soap Form Antibac,973895490
817,"Jam - Strawberry, 20 Ml Jar",2617263433
818,Mcguinness - Blue Curacao,3732100169
819,Onions - Red,1553379962
820,Chocolate - White,3267214745
821,"Chicken - Wings, Tip Off",1669790602
822,Venison - Racks Frenched,3821584859
823,Bananas,3488597169
824,Garlic - Elephant,2146932940
825,Scrubbie - Scotchbrite Hand Pad,2684329615
826,Tomato Puree,1856968049
827,Huck White Towels,3504836995
828,Flower - Leather Leaf Fern,1423349157
829,Lumpfish Black,1820702235
830,Bagelers,1001122628
831,"Mushroom - Chantrelle, Fresh",807955502
832,Salmon Steak - Cohoe 8 Oz,2980484836
833,Pastry - Trippleberry Muffin - Mini,3429043046
834,Oil - Sunflower,2682273132
835,Wine - Jaboulet Cotes Du Rhone,2720220635
836,True - Vue Containers,310238109
837,English Muffin,2069955988
838,Wine - Chardonnay South,40496525
839,White Fish - Filets,3632849160
840,Pickerel - Fillets,3421792011
841,Wine - Zinfandel Rosenblum,289929485
842,Ice Cream Bar - Oreo Cone,3298751237
843,"Liqueur Banana, Ramazzotti",3515152998
844,Monkfish - Fresh,2294118348
845,Wine - Masi Valpolocell,2838872110
846,Lettuce - Red Leaf,2230564375
847,Crab Meat Claw Pasteurise,3041140996
848,Wine - Vouvray Cuvee Domaine,2729406973
849,"Pasta - Linguini, Dry",2137380458
850,"Coke - Classic, 355 Ml",3116368793
851,Wine - Trimbach Pinot Blanc,624172738
852,Cheese - Parmesan Cubes,1694658292
853,Cheese Cloth No 100,329773401
854,Kellogs Raisan Bran Bars,1583156122
855,Potatoes - Idaho 80 Count,1766695332
856,Nori Sea Weed - Gold Label,1006802187
857,Ice Cream - Turtles Stick Bar,3684460574
858,Tobasco Sauce,3901597693
859,Milk - 1%,1604388664
860,Bananas,649243066
861,Yeast Dry - Fleischman,1797254893
862,Longos - Chicken Cordon Bleu,2381130956
863,Hummus - Spread,2877964970
864,Tomatoes - Heirloom,79139114
865,Crab - Imitation Flakes,1138486399
866,"Coffee - Beans, Whole",2897894234
867,Dry Ice,3598898871
868,Broom Handle,3692877242
869,Red Pepper Paste,3083069742
870,Tea - Honey Green Tea,513442137
871,Sauce - Balsamic Viniagrette,3149025254
872,"Pork - Back, Short Cut, Boneless",3874983251
873,Butter Ripple - Phillips,3384019255
874,Capers - Ox Eye Daisy,3675393263
875,Wine - Sicilia Igt Nero Avola,133155929
876,"Wine - White, Schroder And Schyl",3214623343
877,Appetizer - Seafood Assortment,3446996671
878,Carrots - Jumbo,875852396
879,Veal - Leg,3110217502
880,Mustard - Seed,1775419610
881,Wine - Chateau Bonnet,607560135
882,Truffle Shells - White Chocolate,487411447
883,Wine - Champagne Brut Veuve,3736851432
884,Sugar - Cubes,460692046
885,Cotton Wet Mop 16 Oz,1557985026
886,Mountain Dew,270363386
887,Vegetable - Base,1733929355
888,Gherkin - Sour,3720495918
889,Limes,1295609168
890,Cookies - Amaretto,876399036
891,"Crab - Blue, Frozen",3608572755
892,Egg Patty Fried,1808961990
893,Bread - English Muffin,3829600308
894,Green Tea Refresher,2706801739
895,Trueblue - Blueberry 12x473ml,1516106993
896,Towel Multifold,427877091
897,Lemons,684770038
898,Tomato - Plum With Basil,269947795
899,Pizza Pizza Dough,81819105
900,Peach - Fresh,166138980
901,"Pepper - Red, Finger Hot",2907785703
902,Taro Leaves,217266176
903,Cheese - Brie Roitelet,1074421141
904,Cheese - Mozzarella,3880686005
905,Ecolab - Medallion,64011056
906,Dragon Fruit,3290777573
907,Salmon - Sockeye Raw,494234234
908,Compound - Mocha,721611188
909,Compound - Raspberry,1338479974
910,"Beef - Rib Roast, Cap On",1223780181
911,Yukon Jack,2851672946
912,Bread Roll Foccacia,1326431395
913,"Brandy - Orange, Mc Guiness",1674216378
914,"Pepper - Black, Whole",1440361170
915,"Sugar - Brown, Individual",2192375811
916,Yogurt - Assorted Pack,3185225403
917,Cookies Almond Hazelnut,920649748
918,Wine - Rhine Riesling Wolf Blass,3198441208
919,"Shrimp - 21/25, Peel And Deviened",2696427019
920,Table Cloth - 53x69 Colour,3863152558
921,Fireball Whisky,1073290125
922,Cheese - Cream Cheese,400099922
923,Pepper - Red Chili,2123147224
924,Apples - Sliced / Wedge,139694341
925,Truffle Shells - Semi - Sweet,632346555
926,Potatoes - Idaho 80 Count,1331656370
927,Blouse / Shirt / Sweater,786097647
928,Chocolate - Chips Compound,330897284
929,Beer - Pilsner Urquell,2427013558
930,Bread - Crusty Italian Poly,2857470332
931,Nescafe - Frothy French Vanilla,47783229
932,Lettuce - Escarole,2209532777
933,Squash - Pepper,2262890682
934,Mustard - Dijon,1474685507
935,Chocolate - Compound Coating,855833744
936,Syrup - Chocolate,3801909354
937,Soy Protein,2569527782
938,Milk Powder,2158228254
939,"Beef - Roasted, Cooked",2075932492
940,"Wine - Red, Pelee Island Merlot",3355712532
941,Chocolate - White,3067516504
942,Wine - Hardys Bankside Shiraz,2406904050
943,Juice - Orange 1.89l,2623278041
944,Port - 74 Brights,2489262517
945,"Cod - Salted, Boneless",546244601
946,Graham Cracker Mix,822892661
947,Cheese - Le Cheve Noir,2371023519
948,Cookies - Englishbay Wht,1841934362
949,Puff Pastry - Slab,1216102463
950,"Beef - Kindney, Whole",3685685288
951,Cherries - Fresh,2546636563
952,"Stock - Chicken, White",2442690294
953,Arctic Char - Fillets,271330702
954,Bananas,1962407667
955,Wine - Fat Bastard Merlot,3614332817
956,Gloves - Goldtouch Disposable,71998602
957,Potato - Sweet,256358465
958,Milk - 2%,473450120
959,Corn Shoots,1179943651
960,Tuna - Bluefin,495432605
961,Wine - Dubouef Macon - Villages,3803893837
962,Cleaner - Pine Sol,2634727749
963,Shortbread - Cookie Crumbs,3921575344
964,Cornish Hen,1080819407
965,Mushroom - Portebello,160538619
966,"Beef - Cooked, Corned",418427799
967,Evaporated Milk - Skim,2356573006
968,"Rum - Light, Captain Morgan",2594532487
969,Juice Peach Nectar,3696769033
970,Glove - Cutting,3320612340
971,Rabbit - Legs,802722754
972,Longan,3082891528
973,Table Cloth 54x72 Colour,3844073454
974,"Wine - Magnotta, White",1795264467
975,Foil - Round Foil,2105437396
976,Pork - Ham Hocks - Smoked,2153123627
977,"Chocolate - Semi Sweet, Calets",2860126114
978,Shark - Loin,525735368
979,Bread - Italian Sesame Poly,137309216
980,"Cheese - Brie,danish",85887440
981,Broom And Brush Rack Black,3657911128
982,Veal - Eye Of Round,792307999
983,Paper Cocktail Umberlla 80 - 180,583221798
984,Milk - 2% 250 Ml,1561586644
985,"Coconut - Shredded, Sweet",3855111354
986,Food Colouring - Red,3338064021
987,Longos - Chicken Cordon Bleu,3854164400
988,Grapefruit - Pink,1897170671
989,Wiberg Cure,3027076468
990,Soup - Campbells - Chicken Noodle,1005616620
991,Rabbit - Frozen,3569025659
992,"Oil - Olive, Extra Virgin",3850708905
993,Cape Capensis - Fillet,2471168469
994,"Pepper - White, Ground",1818629450
995,Water - Evian 355 Ml,3657853431
996,Vector Energy Bar,2684726308
997,Garbag Bags - Black,152557040
998,"Split Peas - Yellow, Dry",812481836
999,Lotus Root,2881004357
1000,Dawn Professionl Pot And Pan,3810864609
